Value,Type
Abstract Games,Subdomain
Children’s Games,Subdomain
Customizable Games,Subdomain
Family Games,Subdomain
Party Games,Subdomain
Strategy Games,Subdomain
Thematic Games,Subdomain
Wargames,Subdomain
Abstract Strategy ,Category
Action / Dexterity ,Category
Adventure ,Category
Age of Reason ,Category
American Civil War ,Category
American Indian Wars ,Category
American Revolutionary War ,Category
American West ,Category
Ancient ,Category
Animals ,Category
Arabian ,Category
Aviation / Flight ,Category
Bluffing ,Category
Book ,Category
Card Game ,Category
Children's Game ,Category
City Building ,Category
Civil War ,Category
Civilization ,Category
Collectible Components ,Category
Comic Book / Strip ,Category
Deduction ,Category
Dice ,Category
Economic ,Category
Educational ,Category
Electronic ,Category
Environmental ,Category
Expansion for Base-game ,Category
Exploration ,Category
Fan Expansion ,Category
Fantasy ,Category
Farming ,Category
Fighting ,Category
Game System ,Category
Horror ,Category
Humor ,Category
Industry / Manufacturing ,Category
Korean War ,Category
Mafia ,Category
Math ,Category
Mature / Adult ,Category
Maze ,Category
Medical ,Category
Medieval ,Category
Memory ,Category
Miniatures ,Category
Modern Warfare ,Category
Movies / TV / Radio theme ,Category
Murder/Mystery ,Category
Music ,Category
Mythology ,Category
Napoleonic ,Category
Nautical ,Category
Negotiation ,Category
Novel-based ,Category
Number ,Category
Party Game ,Category
Pike and Shot ,Category
Pirates ,Category
Political ,Category
Post-Napoleonic ,Category
Prehistoric ,Category
Print & Play ,Category
Puzzle ,Category
Racing ,Category
Real-time ,Category
Religious ,Category
Renaissance ,Category
Science Fiction ,Category
Space Exploration ,Category
Spies/Secret Agents ,Category
Sports ,Category
Territory Building ,Category
Trains ,Category
Transportation ,Category
Travel ,Category
Trivia ,Category
Video Game Theme ,Category
Vietnam War ,Category
Wargame ,Category
Word Game ,Category
World War I ,Category
World War II ,Category
Zombies,Category
Africa,Continent
Antarctica ,Continent
Asia,Continent
Europe,Continent
North America,Continent
South America,Continent
Australia,Continent
Afghanistan,Country
Albania,Country
Algeria,Country
Andorra,Country
Angola,Country
Argentina,Country
Armenia,Country
Australia,Country
Austria,Country
Austria-Hungary,Country
Azerbaijan,Country
Bahamas,Country
Bahrain,Country
Barbados,Country
Belarus,Country
Belgium,Country
Bhutan,Country
Bolivia,Country
Bosnia and Herzegovina,Country
Botswana,Country
Brazil,Country
Bulgaria,Country
Burma,Country
Burundi,Country
Cambodia,Country
Canada,Country
Cape Verde,Country
Chad,Country
Chile,Country
China,Country
Colombia,Country
Costa Rica,Country
Croatia,Country
Cuba,Country
Cyprus,Country
Czech Republic,Country
